[INFO] Using Xenium bundle: /ictstr01/groups/ml01/projects/2025_xenium_mempel_lab_raphael.kfuri-rubens/MCA205/resegmentation_data/output-XETG00212__0023280__Region_1__20240917__175222_MCA205_d21_
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk026.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk027.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk028.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk029.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk030.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk031.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk032.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk033.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk034.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk035.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk036.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk037.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk038.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk039.main
2025-12-07 02:39:52 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk040.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk041.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk042.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk043.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk044.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk045.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk046.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk047.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk048.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk049.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk050.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk051.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk052.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk053.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk054.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk055.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk056.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk057.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk058.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk059.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk060.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk061.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk062.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk063.main
2025-12-07 02:39:53 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk064.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk065.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk066.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk067.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk068.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk069.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk070.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk071.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk072.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk073.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk074.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk075.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk076.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk077.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk078.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk079.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk080.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk081.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk082.main
2025-12-07 02:39:54 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk083.main
2025-12-07 02:39:55 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk084.main
2025-12-07 02:39:55 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk085.main
2025-12-07 02:39:55 [runtime] (run:local)       ID.RESEGMENT.XENIUM_RANGER_CS._SEGMENTOR_CORE.SEGMENT_NUCLEI.fork0.chnk086.main
